41	41	0	0	1	1	2	5	0	0	0
41	41	0	0	1	3	4	6	0	0	0
41	41	0	0	1	5	6	4	0	0	0
41	41	0	0	1	7	8	0	5	0	0
41	41	0	0	1	10	11	4	0	0	0
41	41	0	0	1	12	13	1	0	0	0
41	41	0	0	1	18	19	1	0	0	0
41	41	0	0	1	19	20	2	0	0	0
41	41	0	0	1	21	22	2	0	0	0
41	41	0	0	1	22	23	3	0	0	0
41	41	0	0	1	23	24	2	0	0	0
41	41	0	0	1	25	26	1	0	0	0
41	41	0	0	1	26	27	4	0	0	0
41	41	0	0	1	27	28	2	0	0	0
41	41	0	0	1	28	29	2	0	0	0
41	41	0	0	1	29	30	1	0	0	0
41	41	0	0	1	30	31	2	0	0	0
41	41	0	0	1	31	32	1	0	0	0
41	41	0	0	1	32	33	3	0	0	0
41	41	0	0	1	33	34	1	0	0	0
41	41	0	0	1	34	35	2	0	0	0
41	41	0	0	1	39	40	0	0	2	0
41	41	0	0	1	42	43	1	0	0	0
41	41	0	0	1	44	45	0	1	0	0
41	41	0	0	1	45	46	0	0	1	0
41	41	0	0	1	46	47	2	0	0	0
41	41	0	0	1	47	48	1	0	0	0
41	41	0	0	1	48	49	2	0	0	0
41	41	0	0	1	50	51	1	0	0	0
41	41	0	0	1	55	56	2	0	0	0
41	41	0	0	1	57	58	2	0	0	0
41	41	0	0	1	59	60	1	0	0	0
41	41	0	0	1	61	62	2	0	0	0
41	41	0	0	1	63	64	3	0	0	0
41	41	0	0	1	65	66	3	0	0	0
41	41	0	0	1	68	69	1	0	0	0
41	41	0	0	1	69	70	1	0	0	0
41	41	0	0	1	73	74	1	0	0	0
41	41	0	0	1	76	77	2	0	0	0
41	41	0	0	1	81	82	1	0	0	0
41	41	0	0	1	84	85	2	0	0	0
41	41	0	0	1	86	87	2	0	0	0
41	41	0	0	1	88	89	1	0	0	0
41	41	0	0	1	91	92	3	0	0	0
41	41	0	0	1	93	94	1	0	0	0
41	41	0	0	1	94	95	1	0	0	0
41	41	0	0	1	95	96	1	0	0	0
41	41	0	0	1	97	98	5	0	0	0
41	41	0	0	1	99	100	3	0	0	0
